date,ESI,RECESSION,stress_level,Inflation,Labour,Financial,Monetary,Real,ESI_expanding,ESI_ML
1991-07-01,54.89642518681673,0.0,Moderate,,85.88957055214725,12.5,7.07070707070707,41.91919191919192,54.39911939443593,
1991-08-01,57.12017629882431,0.0,Moderate,,84.14634146341463,35.294117647058826,10.050251256281408,37.185929648241206,56.05550256053783,
1991-09-01,64.20974556608832,0.0,High,,83.03030303030303,66.66666666666666,11.5,30.0,62.13324961270919,
1991-10-01,68.57408238882152,0.0,High,,83.73493975903614,78.94736842105263,10.44776119402985,27.860696517412936,66.73175110038548,
1991-11-01,63.377649753956135,0.0,High,,82.03592814371258,70.0,4.455445544554455,22.77227722772277,61.63792789268471,
1991-12-01,65.27300130591449,0.0,High,,85.71428571428571,71.42857142857143,3.4482758620689653,22.167487684729064,63.433365732563104,
1992-01-01,56.11879714379742,0.0,Moderate,,86.3905325443787,40.909090909090914,3.92156862745098,22.54901960784314,53.77557618421765,
1992-02-01,50.13946805495243,0.0,Moderate,,84.70588235294117,21.73913043478261,5.365853658536586,17.560975609756095,48.49041053602849,
1992-03-01,46.05977025013466,0.0,Moderate,,81.87134502923976,8.333333333333332,10.679611650485436,11.650485436893204,42.86534102112075,
1992-04-01,43.84233759707239,0.0,Moderate,,79.06976744186046,12.0,5.314009661835748,8.212560386473431,42.25668280048603,
1992-05-01,49.205972110079486,0.0,Moderate,,78.61271676300578,34.61538461538461,7.6923076923076925,10.096153846153848,46.86863154928021,
1992-06-01,51.944952066140814,0.0,Moderate,,78.73563218390804,44.44444444444444,4.30622009569378,12.440191387559809,49.822862378839005,
1992-07-01,59.97861011202626,0.0,Moderate,,83.42857142857143,64.28571428571429,3.333333333333333,9.047619047619047,57.81443557268236,
1992-08-01,65.82516931867023,0.0,High,,82.38636363636364,79.3103448275862,4.265402843601896,14.218009478672986,63.508202265011846,
1992-09-01,69.96403256345923,0.0,High,,84.18079096045197,86.66666666666667,4.245283018867925,18.39622641509434,65.53830357166623,
1992-10-01,68.30282942530359,0.0,High,,75.28089887640449,90.32258064516128,6.572769953051644,18.30985915492958,62.8808853289363,
1992-11-01,51.8016568036002,0.0,Moderate,,74.30167597765363,46.875,10.74766355140187,16.355140186915886,47.70621540874875,
1992-12-01,46.38096478896291,0.0,Moderate,,71.11111111111111,30.303030303030305,18.6046511627907,13.023255813953488,39.068975914472574,
1993-01-01,42.313141183653215,0.0,Moderate,,65.19337016574586,29.411764705882355,17.59259259259259,5.555555555555555,37.74027831705901,
1993-02-01,48.30543990294992,0.0,Moderate,,62.08791208791209,54.285714285714285,15.668202764976956,4.6082949308755765,46.13586207161178,
1993-03-01,54.49971090697901,0.0,Moderate,,63.934426229508205,66.66666666666666,18.34862385321101,8.715596330275229,49.59119071839682,
1993-04-01,54.69345739233151,0.0,Moderate,,65.21739130434783,64.86486486486487,17.80821917808219,14.15525114155251,47.90992294420607,
1993-05-01,55.02612788635191,0.0,Moderate,,64.86486486486487,63.1578947368421,19.545454545454547,23.18181818181818,46.8076288422369,
1993-06-01,45.623450768591766,0.0,Moderate,,62.36559139784946,35.8974358974359,22.624434389140276,25.339366515837103,38.39358139112807,
1993-07-01,45.86908847542283,0.0,Moderate,,62.03208556149733,35.0,23.87387387387388,28.37837837837838,38.23952657361525,
1993-08-01,42.75732701221524,0.0,Moderate,,62.23404255319149,19.51219512195122,23.76681614349776,26.00896860986547,34.81011373801584,
1993-09-01,45.41296421619704,0.0,Moderate,,59.25925925925925,40.47619047619048,25.0,23.660714285714285,38.17042472469336,
1993-10-01,45.17959267706034,0.0,Moderate,,62.63157894736842,34.88372093023256,24.88888888888889,20.444444444444446,38.89232615738025,
1993-11-01,59.128420416510416,0.0,Moderate,,59.16230366492147,77.27272727272727,23.00884955752212,22.566371681415927,52.96375896946688,
1993-12-01,41.94491426300381,0.0,Moderate,,56.25,35.55555555555556,22.46696035242291,20.70484581497797,36.78687312440833,
1994-01-01,39.96728351053456,0.0,Moderate,,57.51295336787565,19.565217391304348,23.24561403508772,24.12280701754386,33.81672517752142,
